fecha,zona_prov,w_median
2014-12-01,RIO NEGRO,14047
2014-12-01,SALTA,11706
2014-12-01,SAN JUAN,12784
2014-12-01,SAN LUIS,13378
2014-12-01,SANTA CRUZ,25422
2014-12-01,SANTA FE,14689
2014-12-01,SANTIAGO DEL ESTERO,9304
2014-12-01,TIERRA DEL FUEGO,24840
2014-12-01,TUCUMAN,10712
2015-01-01,BUENOS AIRES,10197
2015-01-01,CAPITAL FEDERAL,11670
2015-01-01,CATAMARCA,7897
2015-01-01,CHACO,9200
2015-01-01,CHUBUT,13742
2015-01-01,CORDOBA,9904
2015-01-01,CORRIENTES,8787
2015-01-01,ENTRE RIOS,9094
2015-01-01,FORMOSA,8298
2015-01-01,JUJUY,7227
2015-01-01,LA PAMPA,11237
2015-01-01,LA RIOJA,6530
2015-01-01,MENDOZA,8842
2015-01-01,MISIONES,8782
2015-01-01,NEUQUEN,13189
2015-01-01,RIO NEGRO,9490
2015-01-01,SALTA,8099
2015-01-01,SAN JUAN,8929
2015-01-01,SAN LUIS,8955
2015-01-01,SANTA CRUZ,18027
2015-01-01,SANTA FE,10222
2015-01-01,SANTIAGO DEL ESTERO,6441
2015-01-01,TIERRA DEL FUEGO,17814
2015-01-01,TUCUMAN,7453
2015-02-01,BUENOS AIRES,10241
2015-02-01,CAPITAL FEDERAL,11428
2015-02-01,CATAMARCA,7813
2015-02-01,CHACO,9163
2015-02-01,CHUBUT,13763
2015-02-01,CORDOBA,10404
2015-02-01,CORRIENTES,8722
2015-02-01,ENTRE RIOS,8839
2015-02-01,FORMOSA,8283
2015-02-01,JUJUY,7305
2015-02-01,LA PAMPA,10665
2015-02-01,LA RIOJA,6498
2015-02-01,MENDOZA,8874
2015-02-01,MISIONES,8766
2015-02-01,NEUQUEN,15855
2015-02-01,RIO NEGRO,10492
2015-02-01,SALTA,8737
2015-02-01,SAN JUAN,8919
2015-02-01,SAN LUIS,8902
2015-02-01,SANTA CRUZ,17917
2015-02-01,SANTA FE,10164
2015-02-01,SANTIAGO DEL ESTERO,6420
2015-02-01,TIERRA DEL FUEGO,18829
2015-02-01,TUCUMAN,7440
2015-03-01,BUENOS AIRES,10502
2015-03-01,CAPITAL FEDERAL,11500
2015-03-01,CATAMARCA,8579
2015-03-01,CHACO,9641
2015-03-01,CHUBUT,14046
2015-03-01,CORDOBA,10524
2015-03-01,CORRIENTES,9008
2015-03-01,ENTRE RIOS,9436
2015-03-01,FORMOSA,9332
2015-03-01,JUJUY,8418
2015-03-01,LA PAMPA,11200
2015-03-01,LA RIOJA,6650
2015-03-01,MENDOZA,9209
2015-03-01,MISIONES,9088
2015-03-01,NEUQUEN,15187
2015-03-01,RIO NEGRO,10749
2015-03-01,SALTA,9157
2015-03-01,SAN JUAN,9760
2015-03-01,SAN LUIS,9512
2015-03-01,SANTA CRUZ,18267
2015-03-01,SANTA FE,10413
2015-03-01,SANTIAGO DEL ESTERO,8891
2015-03-01,TIERRA DEL FUEGO,19858
2015-03-01,TUCUMAN,8168
2015-04-01,BUENOS AIRES,10790
2015-04-01,CAPITAL FEDERAL,11896
2015-04-01,CATAMARCA,8711
2015-04-01,CHACO,9705
2015-04-01,CHUBUT,14360
2015-04-01,CORDOBA,10627
2015-04-01,CORRIENTES,9167
2015-04-01,ENTRE RIOS,9843
2015-04-01,FORMOSA,9398
2015-04-01,JUJUY,9017
2015-04-01,LA PAMPA,11146
2015-04-01,LA RIOJA,7145
2015-04-01,MENDOZA,9477
2015-04-01,MISIONES,9482
2015-04-01,NEUQUEN,15809
2015-04-01,RIO NEGRO,10805
2015-04-01,SALTA,9773
2015-04-01,SAN JUAN,10108
2015-04-01,SAN LUIS,9549
2015-04-01,SANTA CRUZ,18612
2015-04-01,SANTA FE,10970
2015-04-01,SANTIAGO DEL ESTERO,7587
2015-04-01,TIERRA DEL FUEGO,20393
2015-04-01,TUCUMAN,8156
2015-05-01,BUENOS AIRES,11450
2015-05-01,CAPITAL FEDERAL,12652
2015-05-01,CATAMARCA,9129
2015-05-01,CHACO,9854
2015-05-01,CHUBUT,15579
2015-05-01,CORDOBA,11636
2015-05-01,CORRIENTES,9211
2015-05-01,ENTRE RIOS,10146
2015-05-01,FORMOSA,9556
2015-05-01,JUJUY,8963
2015-05-01,LA PAMPA,12404
2015-05-01,LA RIOJA,7325
2015-05-01,MENDOZA,10466
2015-05-01,MISIONES,9637
2015-05-01,NEUQUEN,16000
2015-05-01,RIO NEGRO,11479
2015-05-01,SALTA,10095
2015-05-01,SAN JUAN,10487
2015-05-01,SAN LUIS,9797
2015-05-01,SANTA CRUZ,20307
2015-05-01,SANTA FE,11794
2015-05-01,SANTIAGO DEL ESTERO,7765
2015-05-01,TIERRA DEL FUEGO,22232
2015-05-01,TUCUMAN,8172
2015-06-01,BUENOS AIRES,16819
2015-06-01,CAPITAL FEDERAL,18690
2015-06-01,CATAMARCA,14104
2015-06-01,CHACO,14707
2015-06-01,CHUBUT,20728
2015-06-01,CORDOBA,17186
2015-06-01,CORRIENTES,13610
2015-06-01,ENTRE RIOS,13604
2015-06-01,FORMOSA,13820
2015-06-01,JUJUY,13479
2015-06-01,LA PAMPA,17679
2015-06-01,LA RIOJA,11247
2015-06-01,MENDOZA,14984
2015-06-01,MISIONES,13192
2015-06-01,NEUQUEN,23448
2015-06-01,RIO NEGRO,16583
2015-06-01,SALTA,14836
2015-06-01,SAN JUAN,15460
2015-06-01,SAN LUIS,14797
2015-06-01,SANTA CRUZ,29881
2015-06-01,SANTA FE,17066
2015-06-01,SANTIAGO DEL ESTERO,11210
2015-06-01,TIERRA DEL FUEGO,28175
2015-06-01,TUCUMAN,11984
2015-07-01,BUENOS AIRES,12454
2015-07-01,CAPITAL FEDERAL,13630
2015-07-01,CATAMARCA,9914
2015-07-01,CHACO,10967
2015-07-01,CHUBUT,16580
2015-07-01,CORDOBA,12677
2015-07-01,CORRIENTES,9931
2015-07-01,ENTRE RIOS,11796
2015-07-01,FORMOSA,10475
2015-07-01,JUJUY,9899
2015-07-01,LA PAMPA,12925
2015-07-01,LA RIOJA,7987
2015-07-01,MENDOZA,11008
2015-07-01,MISIONES,10475
2015-07-01,NEUQUEN,16550
2015-07-01,RIO NEGRO,12401
2015-07-01,SALTA,10757
2015-07-01,SAN JUAN,10888
2015-07-01,SAN LUIS,10786
2015-07-01,SANTA CRUZ,22139
2015-07-01,SANTA FE,12766
2015-07-01,SANTIAGO DEL ESTERO,7971
2015-07-01,TIERRA DEL FUEGO,23338
2015-07-01,TUCUMAN,8551
2015-08-01,BUENOS AIRES,12279
2015-08-01,CAPITAL FEDERAL,13542
2015-08-01,CATAMARCA,9855
2015-08-01,CHACO,11055
2015-08-01,CHUBUT,16472
2015-08-01,CORDOBA,12150
2015-08-01,CORRIENTES,9931
2015-08-01,ENTRE RIOS,10998
2015-08-01,FORMOSA,10426
2015-08-01,JUJUY,9845
2015-08-01,LA PAMPA,12775
